,Time / Date,Active Time/Date,Area,Description,Device
5890,2023-09-02 오후 2:14,2023-09-02 오후 2:14,LP01,Request for access for the LPF is requested or accepted Digital Alarm,LP01
5894,2023-09-02 오후 2:14,2023-09-02 오후 2:08,LP01,Timeout - Deposit position not ready  OK ,LP01
5895,2023-09-02 오후 2:14,2023-09-02 오후 2:08,LP01,Timeout - Deposit position not ready  OK ,LP01
5934,2023-09-02 오후 2:08,2023-09-02 오후 2:08,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
6114,2023-09-02 오후 1:41,2023-09-02 오후 1:41,LP01,Zone 01 is stopped. LPF  OK ,LP01
6119,2023-09-02 오후 1:41,2023-09-02 오후 1:40,LP01,System is stopped  OK ,LP01
6120,2023-09-02 오후 1:41,2023-09-02 오후 1:41,LP01,Zone 01 is stopped. LPF Digital Alarm,LP01
6133,2023-09-02 오후 1:41,2023-09-02 오후 1:40,LP01,Request for access for the LPF is requested or accepted  OK ,LP01
6148,2023-09-02 오후 1:40,2023-09-02 오후 1:40,LP01,System is stopped Digital Alarm,LP01
6149,2023-09-02 오후 1:40,2023-09-02 오후 1:40,LP01,Request for access for the LPF is requested or accepted Digital Alarm,LP01
6416,2023-09-02 오후 12:02,2023-09-02 오전 11:59,LP01,Timeout - Deposit position not ready  OK ,LP01
6417,2023-09-02 오후 12:02,2023-09-02 오전 11:59,LP01,Timeout - Deposit position not ready  OK ,LP01
6429,2023-09-02 오전 11:59,2023-09-02 오전 11:59,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
6442,2023-09-02 오전 11:58,2023-09-02 오전 11:58,LP01,Timeout - Deposit position not ready  OK ,LP01
6443,2023-09-02 오전 11:58,2023-09-02 오전 11:58,LP01,Timeout - Deposit position not ready  OK ,LP01
6444,2023-09-02 오전 11:58,2023-09-02 오전 11:58,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
6445,2023-09-02 오전 11:58,2023-09-02 오전 11:58,LP01,Timeout - Deposit position not ready  OK ,LP01
6446,2023-09-02 오전 11:58,2023-09-02 오전 11:58,LP01,Timeout - Deposit position not ready  OK ,LP01
6447,2023-09-02 오전 11:58,2023-09-02 오전 11:58,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
6457,2023-09-02 오전 11:56,2023-09-02 오전 11:56,LP01,Timeout - Deposit position not ready  OK ,LP01
6458,2023-09-02 오전 11:56,2023-09-02 오전 11:56,LP01,Timeout - Deposit position not ready  OK ,LP01
6459,2023-09-02 오전 11:56,2023-09-02 오전 11:56,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
6518,2023-09-02 오전 11:43,2023-09-02 오전 11:41,LP01,Timeout - Deposit position not ready  OK ,LP01
6532,2023-09-02 오전 11:41,2023-09-02 오전 11:41,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
6542,2023-09-02 오전 11:39,2023-09-02 오전 11:39,LP01,[Sensor]Light grid activated  OK ,LP01
